,theta,sal,depth,nitrate,lon,lat,date,year,month,day,profile,cruise,vessel,density
0,  25.8807,  34.0215,0,     0.09,140.242833333,34.9261666667, 2010/10/03,2010.0,10.0,3.0,1.0, 10-07, R/V Keifu Maru,22.2282874112
1,  25.8993,  34.0217,13,     0.00,140.242833333,34.9261666667, 2010/10/03,2010.0,10.0,3.0,1.0, 10-07, R/V Keifu Maru,22.2226950037
2,  25.8843,  34.0196,27,     0.00,140.242833333,34.9261666667, 2010/10/03,2010.0,10.0,3.0,1.0, 10-07, R/V Keifu Maru,22.225773262
3,  25.9894,  34.2936,51,     0.48,140.242833333,34.9261666667, 2010/10/03,2010.0,10.0,3.0,1.0, 10-07, R/V Keifu Maru,22.3956329154
4,  23.6146,  34.5002,75,     2.71,140.242833333,34.9261666667, 2010/10/03,2010.0,10.0,3.0,1.0, 10-07, R/V Keifu Maru,23.2632774326
5,  20.0183,  34.7358,100,     4.23,140.242833333,34.9261666667, 2010/10/03,2010.0,10.0,3.0,1.0, 10-07, R/V Keifu Maru,24.4371659707
6,  16.5906,  34.6531,126,     8.71,140.242833333,34.9261666667, 2010/10/03,2010.0,10.0,3.0,1.0, 10-07, R/V Keifu Maru,25.2250354486
7,  14.6750,  34.5628,151,    12.31,140.242833333,34.9261666667, 2010/10/03,2010.0,10.0,3.0,1.0, 10-07, R/V Keifu Maru,25.5856916731
8,  13.4401,  34.4981,201,    15.10,140.242833333,34.9261666667, 2010/10/03,2010.0,10.0,3.0,1.0, 10-07, R/V Keifu Maru,25.7947683076
9,  10.4524,  34.3719,251,    21.73,140.242833333,34.9261666667, 2010/10/03,2010.0,10.0,3.0,1.0, 10-07, R/V Keifu Maru,26.2614766939
10,   8.0153,  34.2350,301,    27.17,140.242833333,34.9261666667, 2010/10/03,2010.0,10.0,3.0,1.0, 10-07, R/V Keifu Maru,26.547253355
11,   6.8210,  34.2255,400,    30.79,140.242833333,34.9261666667, 2010/10/03,2010.0,10.0,3.0,1.0, 10-07, R/V Keifu Maru,26.7085650095
12,   6.4968,  34.2631,500,    32.29,140.242833333,34.9261666667, 2010/10/03,2010.0,10.0,3.0,1.0, 10-07, R/V Keifu Maru,26.7811061488
13,   5.4517,  34.2721,601,    35.11,140.242833333,34.9261666667, 2010/10/03,2010.0,10.0,3.0,1.0, 10-07, R/V Keifu Maru,26.9191351703
14,   5.4517,  34.2721,601,    35.47,140.242833333,34.9261666667, 2010/10/03,2010.0,10.0,3.0,1.0, 10-07, R/V Keifu Maru,26.9191351703
15,   4.8193,  34.2931,701,    36.81,140.242833333,34.9261666667, 2010/10/03,2010.0,10.0,3.0,1.0, 10-07, R/V Keifu Maru,27.008868797
16,   4.8193,  34.2931,701,    37.49,140.242833333,34.9261666667, 2010/10/03,2010.0,10.0,3.0,1.0, 10-07, R/V Keifu Maru,27.008868797
17,   4.1817,  34.3371,802,    39.21,140.242833333,34.9261666667, 2010/10/03,2010.0,10.0,3.0,1.0, 10-07, R/V Keifu Maru,27.1127201254
18,   3.7297,  34.3575,902,    40.37,140.242833333,34.9261666667, 2010/10/03,2010.0,10.0,3.0,1.0, 10-07, R/V Keifu Maru,27.1749781947
19,   3.4407,  34.3982,1002,    40.67,140.242833333,34.9261666667, 2010/10/03,2010.0,10.0,3.0,1.0, 10-07, R/V Keifu Maru,27.2354357412
20,   2.8545,  34.4569,1202,    41.90,140.242833333,34.9261666667, 2010/10/03,2010.0,10.0,3.0,1.0, 10-07, R/V Keifu Maru,27.3362213102
21,   2.5144,  34.4882,1404,    41.59,140.242833333,34.9261666667, 2010/10/03,2010.0,10.0,3.0,1.0, 10-07, R/V Keifu Maru,27.3906598964
22,   2.1867,  34.5394,1601,    41.68,140.242833333,34.9261666667, 2010/10/03,2010.0,10.0,3.0,1.0, 10-07, R/V Keifu Maru,27.4585599586
23,   1.9779,  34.5729,1801,    40.86,140.242833333,34.9261666667, 2010/10/03,2010.0,10.0,3.0,1.0, 10-07, R/V Keifu Maru,27.5018721733
24,   1.8199,  34.5987,2003,    40.21,140.242833333,34.9261666667, 2010/10/03,2010.0,10.0,3.0,1.0, 10-07, R/V Keifu Maru,27.5346677906
25,  26.8728,  34.4493,0,     0.06,140.959666667,34.2176666667, 2010/10/03,2010.0,10.0,3.0,2.0, 10-07, R/V Keifu Maru,22.2336414185
26,  26.8440,  34.4476,13,     0.00,140.959666667,34.2176666667, 2010/10/03,2010.0,10.0,3.0,2.0, 10-07, R/V Keifu Maru,22.2415112059
27,  26.6205,  34.4501,27,     0.02,140.959666667,34.2176666667, 2010/10/03,2010.0,10.0,3.0,2.0, 10-07, R/V Keifu Maru,22.313936043
28,  25.9928,  34.4277,50,     0.00,140.959666667,34.2176666667, 2010/10/03,2010.0,10.0,3.0,2.0, 10-07, R/V Keifu Maru,22.4936076618
29,  24.6994,  34.6662,74,     0.89,140.959666667,34.2176666667, 2010/10/03,2010.0,10.0,3.0,2.0, 10-07, R/V Keifu Maru,23.0650809017
30,  21.1049,  34.7130,101,  -999.00,140.959666667,34.2176666667, 2010/10/03,2010.0,10.0,3.0,2.0, 10-07, R/V Keifu Maru,24.1295122737
31,  19.6851,  34.7207,126,     1.94,140.959666667,34.2176666667, 2010/10/03,2010.0,10.0,3.0,2.0, 10-07, R/V Keifu Maru,24.5129474411
32,  18.8976,  34.7139,152,     2.32,140.959666667,34.2176666667, 2010/10/03,2010.0,10.0,3.0,2.0, 10-07, R/V Keifu Maru,24.7099640334
33,  18.4274,  34.7105,201,     3.20,140.959666667,34.2176666667, 2010/10/03,2010.0,10.0,3.0,2.0, 10-07, R/V Keifu Maru,24.825547558
34,  17.8337,  34.7032,250,     4.19,140.959666667,34.2176666667, 2010/10/03,2010.0,10.0,3.0,2.0, 10-07, R/V Keifu Maru,24.9664683933
35,  17.1712,  34.7024,301,     6.19,140.959666667,34.2176666667, 2010/10/03,2010.0,10.0,3.0,2.0, 10-07, R/V Keifu Maru,25.1256066684
36,  14.9914,  34.5876,401,    10.61,140.959666667,34.2176666667, 2010/10/03,2010.0,10.0,3.0,2.0, 10-07, R/V Keifu Maru,25.5360264963
37,  11.3398,  34.3522,499,    17.66,140.959666667,34.2176666667, 2010/10/03,2010.0,10.0,3.0,2.0, 10-07, R/V Keifu Maru,26.0882126262
38,   8.3644,  34.1724,600,    23.54,140.959666667,34.2176666667, 2010/10/03,2010.0,10.0,3.0,2.0, 10-07, R/V Keifu Maru,26.4462888255
39,   5.9790,  34.0802,704,    30.72,140.959666667,34.2176666667, 2010/10/03,2010.0,10.0,3.0,2.0, 10-07, R/V Keifu Maru,26.7039923764
40,   4.8882,  34.1587,802,    35.86,140.959666667,34.2176666667, 2010/10/03,2010.0,10.0,3.0,2.0, 10-07, R/V Keifu Maru,26.8952181896
41,   4.8882,  34.1587,802,    36.03,140.959666667,34.2176666667, 2010/10/03,2010.0,10.0,3.0,2.0, 10-07, R/V Keifu Maru,26.8952181896
42,   4.3638,  34.2333,903,    38.22,140.959666667,34.2176666667, 2010/10/03,2010.0,10.0,3.0,2.0, 10-07, R/V Keifu Maru,27.0115071312
43,   4.3638,  34.2333,903,    38.27,140.959666667,34.2176666667, 2010/10/03,2010.0,10.0,3.0,2.0, 10-07, R/V Keifu Maru,27.0115071312
44,   3.8632,  34.2938,1004,    39.76,140.959666667,34.2176666667, 2010/10/03,2010.0,10.0,3.0,2.0, 10-07, R/V Keifu Maru,27.1112219162
45,   3.1237,  34.3931,1202,    41.83,140.959666667,34.2176666667, 2010/10/03,2010.0,10.0,3.0,2.0, 10-07, R/V Keifu Maru,27.2612125131
46,   2.6234,  34.4621,1402,    41.99,140.959666667,34.2176666667, 2010/10/03,2010.0,10.0,3.0,2.0, 10-07, R/V Keifu Maru,27.3605931826
47,   2.3005,  34.5228,1601,    41.84,140.959666667,34.2176666667, 2010/10/03,2010.0,10.0,3.0,2.0, 10-07, R/V Keifu Maru,27.4360601663
48,   2.0822,  34.5570,1801,    41.23,140.959666667,34.2176666667, 2010/10/03,2010.0,10.0,3.0,2.0, 10-07, R/V Keifu Maru,27.4809642628
49,   1.8935,  34.5872,2001,    40.53,140.959666667,34.2176666667, 2010/10/03,2010.0,10.0,3.0,2.0, 10-07, R/V Keifu Maru,27.5198400734
50,  27.4329,  34.3422,0,     0.08,141.498333333,33.5035, 2010/10/03,2010.0,10.0,3.0,3.0, 10-07, R/V Keifu Maru,21.9761946662
